Date,state,transactions amount,Fraud count per state,Fraud amount per state
2019-01-01,AK,3440.04,0,0.0
2019-01-01,AL,2583.81,0,0.0
2019-01-01,AR,4820.14,0,0.0
2019-01-01,AZ,1834.3799999999999,0,0.0
2019-01-01,CA,7202.58,0,0.0
2019-01-01,CO,3223.75,0,0.0
2019-01-01,CT,550.01,0,0.0
2019-01-01,DC,657.87,0,0.0
2019-01-01,FL,4373.63,0,0.0
2019-01-01,GA,4313.36,0,0.0
2019-01-01,HI,254.37,0,0.0
2019-01-01,IA,2727.87,0,0.0
2019-01-01,ID,870.99,0,0.0
2019-01-01,IL,5009.16,0,0.0
2019-01-01,IN,2783.98,0,0.0
2019-01-01,KS,4289.9,0,0.0
2019-01-01,KY,3321.45,0,0.0
2019-01-01,LA,2434.01,0,0.0
2019-01-01,MA,1025.96,0,0.0
2019-01-01,MD,3473.25,0,0.0
2019-01-01,ME,1549.74,0,0.0
2019-01-01,MI,5132.6,0,0.0
2019-01-01,MN,3233.41,0,0.0
2019-01-01,MO,4863.43,0,0.0
2019-01-01,MS,1706.67,0,0.0
2019-01-01,MT,884.1,0,0.0
2019-01-01,NC,3006.24,0,0.0
2019-01-01,ND,1501.32,0,0.0
2019-01-01,NE,2319.39,0,0.0
2019-01-01,NH,692.31,0,0.0
2019-01-01,NJ,1938.57,0,0.0
2019-01-01,NM,766.46,0,0.0
2019-01-01,NV,378.63,0,0.0
2019-01-01,NY,9361.6,0,0.0
2019-01-01,OH,5558.55,0,0.0
2019-01-01,OK,2666.38,0,0.0
2019-01-01,OR,4441.4800000000005,0,0.0
2019-01-01,PA,9171.08,0,0.0
2019-01-01,RI,48.95,0,0.0
2019-01-01,SC,2833.84,0,0.0
2019-01-01,SD,913.59,0,0.0
2019-01-01,TN,2446.73,0,0.0
2019-01-01,TX,10363.31,0,0.0
2019-01-01,UT,1408.41,0,0.0
2019-01-01,VA,4477.62,0,0.0
2019-01-01,VT,1456.42,0,0.0
2019-01-01,WA,1859.43,0,0.0
2019-01-01,WI,5502.03,0,0.0
2019-01-01,WV,4040.03,0,0.0
2019-01-01,WY,2774.2599999999998,0,0.0
2019-01-02,AK,50.25,0,0.0
2019-01-02,AL,1807.44,0,0.0
2019-01-02,AR,1607.6200000000001,0,0.0
2019-01-02,AZ,901.9200000000001,0,0.0
2019-01-02,CA,3829.01,0,0.0
2019-01-02,CO,1317.3,0,0.0
2019-01-02,CT,566.55,0,0.0
2019-01-02,DC,168.95,0,0.0
2019-01-02,FL,1717.02,0,0.0
2019-01-02,GA,1250.84,0,0.0
2019-01-02,HI,162.5,0,0.0
2019-01-02,IA,849.33,0,0.0
2019-01-02,ID,170.84,0,0.0
